id,number,name,description,numCredits,numCredits,numCredits
7911,VDPAM 421A,Great Plains Veterinary Educational Center: Calving,"The Calving Elective provides an opportunity to expand knowledge and experience in all phases of calving management. The program is structured around normal calving operations at USMARC. The GPVEC and USMARC veterinary staff will make an effort to include students in veterinary activities that take place during the Calving Elective. The opportunity exists for assistance in diagnosis, treatment, and management of many commonly encountered situations in the dam and calf. Students are encouraged to make every effort to become involved in USMARC calving activities. Direct involvement includes routine husbandry activities beyond those involving traditional veterinary roles which are expected of the student.",,1,1
7912,VDPAM 421B,Great Plains Veterinary Educational Center: Bull Breeding Soundness,"The Bull Breeding Soundness Examination Elective involves training in all phases of the examination, collection, and semen evaluation for up to 200 herd bulls and/or sale bulls as recommended by the Society for Theriogenology. Chuteside training and hand-on experience are the primary training techniques for this elective with informal discussions held during the performance of the breeding soundness examinations.",,1,1
7913,VDPAM 421D,Great Plains Veterinary Educational Center: Feedlot Management,"Evaluation of production techniques and production efficiency including ration and feeding management, health management program development and evaluation, environmental management, quality assurance, feedlot necropsy and microbiology techniques, and break even analysis. Approaches to solve seasonal health problems within the management objectives for different feed yards are the strong emphasis of this elective. Students may have the opportunity to follow cattle to a packing plant to learn the methods for tracking animals into the food chain, identifying production problems that are not diagnosable at the feedlot level, and monitoring beef quality assurance. Biosecurity activities will be emphasized and practiced.",,1,1
7914,VDPAM 421E,Great Plains Veterinary Educational Center: Weaning Management,"This is a hands-on elective in which students participate in the weaning management at the U.S. Meat Animal Research Center. Students will be involved with processing, feeding, finding, and treating sick calves. Additionally, students will be introduced to developing weaning rations and managing feed delivery. Students will also learn how to develop vaccination and treatment protocols and each student will have as an objective the development of their own vaccination and treatment protocol template.  As time allows, students will visit commercial feed yards and cover production management topics.",,1,1
7915,VDPAM 421F,Great Plains Veterinary Educational Center: Pregnancy Examination,"The Pregnancy Examination Elective involves students, the GPVEC faculty, and USMARC personnel during pregnancy examination. Activities involve rectal examinations for pregnancy, collecting data and entry into the CowCalf5 computer software program to evaluate the reproductive performance of the herd. This elective is designed for students who have some palpation experience and are interested in honing their skills. Ultrasonography may be utilized by students based on adequate time and interest. Pregnancy Examination occurs during yearly fall herd work at the USMARC, therefore, speed and accuracy will be stressed, rather than basic technique. Introduction into rectal examination for reproductive use is stressed during the Bovine Reproduction Elective.",,1,1
7916,VDPAM 421J,Great Plains Veterinary Educational Center: Lambing,"The Lambing Elective involves students with the USMARC lambing crew and GPVEC faculty in observations, assistance with delivery when necessary, and routine lambing duties. Students will work with veterinary personnel in sheep necropsy and health surveillance. Activities and objectives closely parallel to those listed in the Calving Elective. Self study material will be provided covering topics such as pre-breeding and breeding, pregnancy diagnosis, pregnant ewe management, pre-lambing ewe/lambing management, feeder lamb health and nutrition management, and replacement ewe and ram management.",,1,1
7917,VDPAM 421K,Great Plains Veterinary Educational Center: Equine Dentistry,The Equine Dentistry Elective provides the opportunity for students to expand their knowledge and experience related to equine dentistry. The rotation consists of lectures on topics relevant to equine dental care and hands-on laboratories during which students practice routine dental care procedures on USMARC horses. Equine Dentistry will involve both lecture and lab time at about equal shares.,,1,1
7918,VDPAM 421M,Great Plains Veterinary Educational Center: Preconditioning,"The Preconditioning Elective provides the opportunity for students to expand their knowledge and experience in the development and implementation of calf preweaning programs. Students will assist GPVEC and USMARC personnel during routine processing of USMARC spring-born calves prior to weaning. GPVEC faculty will also lead discussions related to vaccine and dewormer protocols, preweaning nutrition, and other topics related to preparing beef calves for weaning.",,1,1
7919,VDPAM 421P,Great Plains Veterinary Educational Center: Gomer Bull Surgery,The Gomer Bull Surgery Elective is designed to give students interested in food animal surgery an opportunity to practice their surgical skills by performing penile translocations and epididymectomies on USMARC teaser bull candidates. Lectures specific to gomer bull surgery as well as other topics related to food animal surgery will be presented during this elective.,,1,1
7920,VDPAM 421Q,Great Plains Veterinary Education Center: Swine Husbandry,"This elective provides students the opportunity to gain hands-on experience related to the daily activities of an intensively managed confinement swine unit.   Rotation participants will work closely with USMARC Swine Unit personnel as they complete their daily routines in the farrowing and breeding areas of the USMARC Swine Unit and will participate in piglet delivery, neonatal pig processing, artificial and natural breeding, necropsies, and other activities as they arise.",,1,1
7921,VDPAM 421R,Great Plains Veterinary Education Center: Sheep Weaning Management,"This elective provides the opportunity for students to develop their skills in the area of health and nutritional management of sheep immediately before and after weaning.   The rotation consists of lectures on pre- and post-weaning nutrition, clinical parasitology, and prevention and control of common ovine infectious diseases.  Hands-on experience during the week will take place at the USMARC Sheep Unit and will consist of walk-through and hand-on examinations of recently weaned lambs, treatment of sick lambs, inspection of weaning pen environment, investigation of herd outbreaks, and post mortem examination of all sheep mortalities.",,1,1
7922,VDPAM 421S,Great Plains Veterinary Education Center: Ultrasound Pregnancy Examination,"The Ultrasound Pregnancy Examination Elective involves students, the GPVEC faculty, and USMARC personnel during pregnancy examination of USMARC yearling heifers.  Activities involve transrectal ultrasonographic examinations for pregnancy, collecting data and entry into the CowHerd/CowCalf computer software program to evaluate the reproductive performance of the herd.  This elective is designed for students who have some ultrasound experience and are interested in honing their skills.  This elective occurs during yearly fall herd work at the USMARC, therefore, speed and accuracy will be stressed, rather than basic technique.  Didactic instruction may include several topics in cow herd health, nutrition, management and reproductive decision making.",,1,1
7923,VDPAM 422,Beef Cattle Calving,"This elective provides students opportunity to assist cow-calf operations with calving in Nebraska, South Dakota or other locations. These operations typically calve 300-1,000 head each spring. Calving experience is not required, but a good understanding of working around cattle is necessary. Students will be actively participating in the day to day, normal calving routine including detecting and sorting off Ã¢â‚¬Å“springersÃ¢â‚¬Âù, calf Ã¢â‚¬Å“watchÃ¢â‚¬Âù, detecting when intervention is needed and assisting delivery, caring for and monitoring newborns and dams for good health and early disease detection, tagging/processing new calves, treating calves needing intervention and performing other routine calving chores. Students need to provide their own transportation to the site and overnight stays at or near the production sites are required. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7924,VDPAM 426,Veterinary Toxicology,"Study of toxicological diseases of animals emphasizing clinical recognition, circumstances of poisoning, differential diagnosis with clinical and laboratory data, therapeutic procedures, preventive management and public health implications. Supplemented with case-based materials.",,3,3
7925,VDPAM 428,Principles of Epidemiology and Population Health,"Epidemiology and ecology of disease in populations. Disease causality and epidemiologic investigations. Issues in disease prevention, control, and eradication. This course is available on campus and by distance.",,3,3
7926,VDPAM 436,Beef Records Analysis,"Lectures will emphasize current production and evaluation techniques for beef cow/calf operations and students will learn to conduct and critically assess production and financial data using a standardized approach.  Lab activities will allow students an opportunity to work with individual beef cattle producers to identify areas for improving profitability, health, and sustainability.  Each semester's content builds on the material from the previous semester. Enrolling in the class for multiple semesters will be encouraged.",,1,1
7927,VDPAM 436A,Beef Records Analysis: Introduction,"Lectures will emphasize current production and evaluation techniques for beef cow/calf operations and students will learn to conduct and critically assess production and financial data using a standardized approach.  Lab activities will allow students an opportunity to work with individual beef cattle producers to identify areas for improving profitability, health, and sustainability.",,1,1
7928,VDPAM 436B,Beef Records Analysis: Herd Management,"Lectures will emphasize current production and evaluation techniques for beef cow/calf operations and students will learn to conduct and critically assess production and financial data using a standardized approach.  Lab activities will allow students an opportunity to work with individual beef cattle producers to identify areas for improving profitability, health, and sustainability.",,1,1
7929,VDPAM 436C,Beef Records Analysis: Cow/Calf Preventive Medicine,"Lectures will emphasize current production and evaluation techniques for beef cow/calf operations and students will learn to conduct and critically assess production and financial data using a standardized approach.  Lab activities will allow students an opportunity to work with individual beef cattle producers to identify areas for improving profitability, health, and sustainability.",,1,1
7930,VDPAM 436D,Beef Records Analysis: Feedlot Production Medicine,"Lectures will emphasize current production and evaluation techniques for beef cow/calf operations and students will learn to conduct and critically assess production and financial data using a standardized approach.  Lab activities will allow students an opportunity to work with individual beef cattle producers to identify areas for improving profitability, health, and sustainability.",,1,1
7931,VDPAM 445,Production Animal Clinical Medicine,"Clinical diagnosis and treatment of diseases of swine, beef and dairy cattle, and small ruminants.",,3,3
7932,VDPAM 450,Disturbances of Reproduction,"General principles of normal reproductive functions in addition to environment, management and diseases causing disturbances in reproduction.",,4,4
7933,VDPAM 451,Clinical Embryo Transfer,Elective clinical assignment in techniques of embryo transfer. Primary species studied will be bovine but equine and small ruminant embryo transfer will be covered during appropriate seasons. Enrollment is limited to four students per two week session. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.,,2,2
7934,VDPAM 455,Diagnostic Laboratory Practicum,"Practical experience and training in necropsy, recognition of gross lesions, diagnostic sample collection and test selection for the diagnosis of infectious, toxic, nutritional and  metabolic diseases of small animal and production livestock species through exposure to diagnostic cases submitted to the ISU Veterinary Diagnostic Laboratory.",,1,1
7935,VDPAM 456,Veterinary Diagnostic Lab Methods & Applications,Case materials are used to develop diagnostic questions and to better understand the value of diagnostic tests.  Testing methods and interpretation of diagnostic tests are coupled with sampling strategy and objective assessment of available evidence to provide accurate diagnosis.,,1,1
7936,VDPAM 471,Theriogenology: Food Animal,"Elective clinical assignment in Food Animal and Small Ruminant Theriogenology involving male and female breeding soundness exams, dystocia management, advanced diagnostic procedures, surgical and nonsurgical insemination programs in small ruminants, and semen cryopreservation. Medical and surgical correction of reproductive disorders in cattle and small ruminants.",,2,2
7937,VDPAM 476,Food Animal and Camelid Field Service,Elective course in food animal and camelid field services. Students will assist university veterinarians in delivering health care and production management services to the ISU livestock farms and other livestock farms in the local area. Focus will be on delivery of individual animal care and establishment of best practices for herd management of production systems at the university and in the region. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.,,2,2
7938,VDPAM 477,Food Animal and Camelid Medicine and Surgery,"Clinical assignment focused on the management of food animal and camelid medicine and surgery cases. Specific instruction in clinical evaluation of cases coupled with appropriate diagnostic testing and therapeutic intervention will be emphasized. Additional instruction will be provided in disease prevention, intensive care and management of food animal and camelid species. Particular emphasis will be placed on appropriate on-label and extra-label drug usage in food animal species. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7939,VDPAM 479,Applied Swine Production Medicine Preceptorship,"Preceptorship course in swine production medicine with emphasis on herd management, production analysis, and problem solving. Forty hours clinical experience per week. Assignments will be preceptorships with a practicing veterinarian and/or a production unit. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,42375,6-Jan
7940,VDPAM 480,Swine Production Medicine,"Two week clinical rotation in swine production medicine.  Students will be assigned to take the lead in investigating field based client cases with supervision of the instructors.  Development of critical thinking skills that will allow students to apply concepts of herd management, production analysis, economic analysis, and disease prevention in addressing client cases.  Variable amounts of travel to farm sites will be required with the potential for rare overnight stays. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7941,VDPAM 481,Advanced Cow/Calf Production Medicine,"Two-week senior elective that will focus on the economics of animal disease in cow/calf operations. Evidence based medicine and epidemiological principles will be used in investigation of disease outbreaks. Extensive partial budgeting used. Students will complete at least two disease investigations involving outbreaks in commercial cow/calf operations and communicate their findings to the class, the herd owner, and local practitioner. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7942,VDPAM 482,Applied Beef Production Medicine Preceptorship,"Advanced course in beef production medicine with emphasis on herd management, production analysis, and problem solving. Forty hours clinical experience per week. Assignments will include preceptorships with a practicing veterinarian and/or a production unit. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,42375,6-Jan
7943,VDPAM 483,Beef Production Medicine,"Two week advanced clinical rotation in beef production medicine. Fifteen hours recitation/discussion and 20 hours clinical experience per week. This course is designed to expose students to cow-calf and feedlot production concepts. The activities scheduled for the rotation depend greatly on the time of year. Whenever possible, the class incorporates field trips. Students should anticipate that travel, including overnight stays, may be required. These field trips can vary in length from several hours to several days and may include weekends. Typically, 3-4 days of the rotation are spent at the Great Plains Veterinary Education Center, Clay Center, NE. Students should, therefore, plan accordingly and contact the instructor, immediately, if they anticipate a conflict. Students should not schedule Grand Rounds during this rotation. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7944,VDPAM 484,Dairy Production Medicine,"Two week course in dairy production medicine combining class time with multiple on-farm visits to learn various management aspects (DHIA, DC305 & PC Dart record analysis, calf rearing through lactating cows, reproduction programs, udder health and milk quality, biosecurity, welfare, nutrition and cow comfort) for a wide variety of dairy operations. Students will learn the latest in dairy management by reviewing current topic articles and gain experience in farm evaluation through a group project. Fifteen hours recitation/discussion and 20 hours clinical experience per week. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7945,VDPAM 485,Applied Dairy Production Medicine Preceptorship,"Advanced course in dairy production medicine with emphasis on herd management, production analysis, and problem solving. Forty hours clinical experience per week. Assignments will include preceptorships with a practicing veterinarian and/or a production unit. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,42375,6-Jan
7946,VDPAM 486,Introduction to Small Ruminant Production Medicine,"Survey of small ruminant production systems, common management practices, and disease processes of small ruminants.  This course is intended to give the student a background in small ruminant medicine. Herd health, disease monitoring and prevention, and typical management systems will be emphasized in lecture.",,1,1
7947,VDPAM 487,Livestock Disease Prevention,"The course is designed for both the pre-veterinary and animal science majors who have an interest in production animal health, disease prevention methods, epidemiology of economically important agents, and the ecology of currently important pathogens found in North American livestock industries. It will focus on disease prevention principles for individuals and large production population systems.",,3,3
7948,VDPAM 488,Laboratory in Clinical Microbiology,Application of microbiological procedures to the diagnosis of infectious diseases.,,1,1
7949,VDPAM 489,Issues in Food Safety,Capstone seminar for the food safety minor. Case discussions and independent projects about safety issues in the food system from a multidisciplinary perspective.,,1,1
7950,VDPAM 490,Independent Study,,,42374,5-Jan
7951,VDPAM 491,Advanced Ruminant Nutrition,"Focus on dairy nutrition and balancing rations from the calf to the adult, lactating cow. Introduction to different feedstuffs and forage varieties to determine those that are best suited to bovine diets. This course is held the week immediately prior to the start of the fall semester. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7952,VDPAM 494,Advanced Dairy Production Medicine,"Advanced course in investigating dairy herd problems relating to milk quality or nutrition.  Milk quality and nutrition troubleshooting will be taught through the combination of lecture and on-farm investigations. Students will combine lecture knowledge, data acquired from on-farm investigations and record analysis to generate management plans. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7953,VDPAM 495,Advanced Small Ruminant Production Medicine,"Two week clinical rotation in small ruminant production medicine. Field trips (including overnight stays) will be incorporated when possible. Topics to be covered include small ruminant industries (milk, meat, and fiber), milk quality, nutrition, reproduction, and disease management of small ruminants. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7954,VDPAM 496,International Preceptorship,"International Preceptorships and Study Abroad Group programs. This course will provide opportunities for students to be involved in applied clinical, production, and/or research experiences in international locations. The course consists of 40 hour per week experiential learning opportunities.   Offered on a satisfactory-fail basis only.",,2,2
7955,VDPAM 507,Evidence Based Clinical Decision Making,"Discussion, lectures and laboratories to assess the quality and significance of medical evidence in making informed decisions about the treatment of individual animals and animal populations.",,1,1
7956,VDPAM 508,Poultry  Diseases,"Bacterial, viral, parasitic, and nutritional diseases of domestic poultry and gamebirds; biosecurity, immunization, and management procedures to prevent poultry diseases.",,2,2
7957,VDPAM 514,Veterinary Practice Entrepreneurship,"Formal exposure to the entrepreneurial and business skills necessary to own and operate a successful veterinary practice or other small business opportunity. Personal finance, marketing, human resource management, general accounting, site assessment, location demographics, practice valuation, and a host of other issues which must be considered when purchasing or starting a new business are covered.  Class instruction will be delivered by successful practice and business owners with examples from real world experience.",,42403,3-Feb
7958,VDPAM 526,Veterinary Toxicology,"Study of toxicological diseases of animals emphasizing clinical recognition, circumstances of poisoning, differential diagnosis with clinical and laboratory data, therapeutic procedures, preventive management and public health implications. Supplemented with case-based materials.",,3,3
7959,VDPAM 527,Applied Statistical Methods in Population Studies,"ANOVA, Linear Regression, Model Selection, Mixed Models, ANCOVA, Repeated Measurement Analysis, MANOVA, Nonparametric Methods, Diagnostic Test Evaluation, ROC Curve Analysis, Generalized Linear Models, Logistic Regression, Survival Analysis, Cox Proportional Hazards Regression. This course is available on campus and by distance.",,3,3
7960,VDPAM 528,Principles of Epidemiology and Population Health,"Epidemiology and ecology of disease in populations. Disease causality and epidemiologic investigations. Issues in disease prevention, control, and eradication. This course is available on campus and by distance.",,3,3
7961,VDPAM 529,Epidemiological Methods in Population Research,"Designing, conducting, and analyzing outcomes from field-based studies, including cross-sectional, case-control, cohort, and clinical trials with categorical outcomes. This course is available on campus and by distance.",,3,3
7962,VDPAM 542,Introduction to Molecular Biology Techniques,Sessions in basic molecular biology techniques and related procedures.   Offered on a satisfactory-fail basis only.,,1,1
7963,VDPAM 542A,Introduction to Molecular Biology Techniques: DNA Techniques,"Includes genetic engineering procedures, sequencing, PCR, and genotyping.   Offered on a satisfactory-fail basis only.",,1,1
7964,VDPAM 542B,Introduction to Molecular Biology Techniques: Protein,"Techniques. Includes: fermentation, protein isolation, protein purification, SDS-PAGE, Western blotting, NMR, confocal microscopy and laser microdissection, Immunophenotyping, and monoclonal antibody production. Sessions in basic molecular biology techniques and related procedures.   Offered on a satisfactory-fail basis only.",,1,1
7965,VDPAM 542C,Introduction to Molecular Biology Techniques: Cell Techniques,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection.   Offered on a satisfactory-fail basis only.",,1,1
7966,VDPAM 542D,Introduction to Molecular Biology Techniques: Plant Transformation,"Includes: Agrobacterium and particle gun-mediated transformation of tobacco, Arabidopsis, and maize, and analysis of tranformants.   Offered on a satisfactory-fail basis only.",,1,1
7967,VDPAM 542E,Introduction to Molecular Biology Techniques: Proteomics,"Includes: two-dimensional electrophoresis, laser scanning, mass spectrometry, and database searching.   Offered on a satisfactory-fail basis only.",,1,1
7968,VDPAM 542F,Introduction to Molecular Biology Techniques: Metabolomics,Includes: metabolomics and the techniques involved in metabolite profiling. For non-chemistry majoring students who are seeking analytical aspects into their biological research projects.   Offered on a satisfactory-fail basis only.,,1,1
7969,VDPAM 542G,Introduction to Molecular Biology Techniques: Genomic,Offered on a satisfactory-fail basis only.,,1,1
7970,VDPAM 546,Clinical and Diagnostic Toxicology,"Advanced study of current problems and issues in toxicology. Emphasis on problem solving utilizing clinical, epidemiological, and laboratory resources.",,1-3,3-Jan
7971,VDPAM 551,Advanced Veterinary Diagnostic Medicine,Necropsy techniques of animals with emphasis on gross and microscopic lesion description and microbiological diagnosis of disease in food animals.,,1-3,3-Jan
7972,VDPAM 570,"Risk Assessment for Food, Agriculture and Veterinary Medicine",Risk assessment principles as applied to biological systems. Exposure and effects characterization in human and animal health and ecological risk assessment.  Risk analysis frameworks and regulatory decision-making.  Introduction to quantitative methods for risk assessment using epidemiological and distributional analysis.  Uncertainty analysis.  This course is available only by distance.,,3,3
7973,VDPAM 581,Advanced Cow/Calf Production Medicine,"Two-week senior elective that will focus on the economics of animal disease in cow/calf operations. Evidence based medicine and epidemiological principles will be used in investigation of disease outbreaks. Extensive partial budgeting used. Students will complete at least two disease investigations involving outbreaks in commercial cow/calf operations and communicate their findings to the class, the herd owner, and local practitioner. Biosecurity policies require documentation of your presence in the USA 5 days immediately prior to the start of class if international travel has occurred.",,2,2
7974,VDPAM 590,Special Topics,"Topics in medicine, surgery, theriogenology; beef, swine, dairy, or sheep production medicine.",,1-3,3-Jan
7975,VDPAM 596,International Preceptorship,"International Preceptorships and Study Abroad Group programs. This course will provide opportunities for students to be involved in applied clinical, production, and/or research experiences in international locations. The course consists of 40 hour per week experiential learning opportunities.   Offered on a satisfactory-fail basis only.",,2,2
7976,VDPAM 599,Creative Component,,,arr,arr
7977,VDPAM 650,Swine Diagnostic Medicine,"A detailed study of swine diseases emphasizing the pathogenesis and diagnosis of swine respiratory, enteric, reproduction, metabolic, and septicemic diseases. Course activities include interpretation of diagnostic case reports and development of diagnostic plans for specific disease objectives.",,4,4
7978,VDPAM 654,Comparative Antimicrobial Clinical Pharmacology,"Initial antimicrobial selection for infectious diseases of domestic animals. The antimicrobial drug groups will be examined, stressing pharmacokinetics, minimal inhibitory concentrations, and the use of these parameters to select appropriate compounds and dosages for maximum efficacy.",,2,2
7979,VDPAM 655,Advanced Swine Production Medicine,"Detailed overview of applied techniques used in swine production medicine; production modeling and record analysis, facility design and management, analysis of competing intervention options, design and evaluation of therapeutic and vaccination strategies, quality control procedures and food safety. Course activities include interpretation of diagnostic case reports and development of diagnostic plans for specific disease objectives.",,4,4
7980,VDPAM 699,Research,,,arr,arr
7981,V MPM 378,Case Study IV,Case-based applied learning that relates to the basic science courses. Emphasis on early integration of basic and clinical science concepts.,,2,2
7982,V MPM 380,Veterinary Immunology,Structure and function of the immune system in animals.,,2,2
7983,V MPM 386,Veterinary Microbiology,Bacteria and fungi of veterinary importance with emphasis on mechanisms of disease production and laboratory diagnostic procedures.,,5,5
7984,V MPM 387,Veterinary Virology,Basic principles of animal virology. Pathogenesis of viral infections. The nature and ecology of viruses of veterinary and zoonotic importance.,,3,3
7985,V MPM 388,Public Health and the Role of the Veterinary Profession,"Fundamental epidemiology, zoonotic diseases, occupational health, food safety, other public health topics.",,3,3
7986,V MPM 390,Topics in Veterinary History,An overview of the history of veterinary medicine focused primarily on disease-specific events.  A review of the historical aspects of the veterinary profession's accomplishments in the discovery of the etiological origins of disease and their subsequent control will provide students with insights that are applicable to understanding and solving today's animal and human health challenges.,,1,1
7987,V MPM 409,Infectious Diseases of Wild Animals,"Infectious diseases (bacterial, viral, and mycotic) of non-human primates, birds, ruminants, cold-blooded animals, marine mammals, and carnivores.*Spring only offered to UNL students.",,1,1
7988,V MPM 428,Principles of Epidemiology and Population Health,"Epidemiology and ecology of disease in populations. Disease causality and epidemiologic investigations. Issues in disease prevention, control, and eradication. This course is available on campus and by distance.",,3,3
7989,V MPM 437,Infectious Diseases and Preventive Medicine,"Etiology, epidemiology, laboratory diagnosis, regulatory control and preventive medicine aspects of the infectious diseases of swine, sheep, goats, cattle and horses.",,3,3
7990,V MPM 486,Laboratory in Public Health,"Discussions, lectures, exercises and field trips related to veterinary public health.",,2,2
7991,V MPM 490,Independent Study,,,arr,arr
7992,V MPM 491,CDC Epidemiology  Elective Preceptorship,"Introduction to preventive medicine, public health and the principles of applied epidemiology within the working atmosphere of the Centers for Disease Control and Prevention.",,6,6
7993,V MPM 494,Zoo Preceptorship,Elective course in zoo veterinary practice under guidance of approved veterinarians.,,1-8,8-Jan
7994,V MPM 496,International Preceptorship,"International Preceptorships and Study Abroad group programs. This course will provide opportunities for students to be involved in applied clinical, production, and/or research experiences in international locations. The course consists of 40 hour per week experiential learning opportunities.   Offered on a satisfactory-fail basis only.",,2,2
7995,V MPM 501,Basic Principles of Microbiology,"The general principles of bacteriology, immunology and virology will be discussed.  The structure and function of bacteria and viruses, the mechanisms of pathogenesis, and the host response to infectious agents will be reviewed. Vaccines, their failures, and new developments in vaccine development will be explored.",,3,3
7996,V MPM 502,Microbial Genetics and Genomics,"The fundamental concepts of bacterial and bacteriophage genetics including mutagenesis, mechanisms of both vertical and     horizontal genetic information transfer, gene regulation, and genetic approaches to study complex cellular processes. Review and     discussion of research literature to examine experimental design, methodology, and interpretation of both historical and     contemporary relevance to microbial genetics.",,3,3
7997,V MPM 520,Medical Immunology I,"Nature of the immune system and its role in health and disease.   Credit for either V MPM 520 or 575, but not both may be applied toward graduation.",,4,4
7998,V MPM 525,Intestinal Microbiology,"Overview of commensal microbiota in the health and well-being of vertebrates. Topics include diversity of intestinal structure, microbial diversity/function, innate immune development, community interactions and metabolic diseases associated with alterations of the intestinal microbiome.",,3,3
7999,V MPM 528,Principles of Epidemiology and Population Health,"Epidemiology and ecology of disease in populations. Disease causality and epidemiologic investigations. Issues in disease prevention, control, and eradication. This course is available on campus and by distance.",,3,3
8000,V MPM 536,Zoonoses and Environmental Health,Pathogensis and control of zoonotic diseases. Factors influencing transmission and survival of pathogenic microorganisms in the environment.,,3,3
8001,V MPM 540,Livestock Immunogenetics,Basic concepts and contemporary topics in genetic regulation of livestock immune response and disease resistance.,,2,2
8002,V MPM 542,Introduction to Molecular Biology Techniques,Sessions in basic molecular biology techniques and related procedures.   Offered on a satisfactory-fail basis only.,,1,1
8003,V MPM 542A,Introduction to Molecular Biology Techniques: DNA Techniques,"Includes genetic engineering procedures, sequencing, PCR, and genotyping.   Offered on a satisfactory-fail basis only.",,1,1
8004,V MPM 542C,Introduction to Molecular Biology Techniques: Cell Techniques,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection.   Offered on a satisfactory-fail basis only.",,1,1
8005,V MPM 542D,Introduction to Molecular Biology Techniques: Plant Transformation,"Includes: Agrobacterium and particle gun-mediated transformation of tobacco, Arabidopsis, and maize, and analysis of tranformants.   Offered on a satisfactory-fail basis only.",,1,1
8006,V MPM 542E,Introduction to Molecular Biology Techniques: Proteomics,"Includes: two-dimensional electrophoresis, laser scanning, mass spectrometry, and database searching.   Offered on a satisfactory-fail basis only.",,1,1
8007,V MPM 542F,Introduction to Molecular Biology Techniques: Metabolomics,Includes: metabolomics and the techniques involved in metabolite profiling. For non-chemistry majoring students who are seeking analytical aspects into their biological research projects.   Offered on a satisfactory-fail basis only.,,1,1
8008,V MPM 542G,Introduction to Molecular Biology Techniques: Genomic,Offered on a satisfactory-fail basis only.,,1,1
8009,V MPM 575,Immunology,"An examination of humoral and cellular immune function as well as the interaction of the cells and factors of the immune system that result in health and disease. MICRO 475L optional.   Credit for either Micro 575 or V MPM 520, but not both, may be applied toward graduation.",,3,3
8010,V MPM 586,Medical Bacteriology,"Bacteria associated with diseases of vertebrates, including virulence factors and interaction of host responses.",,4,4
8011,V MPM 586L,Medical Bacteriology Laboratory,"Procedures used in isolation and identification of pathogenic bacteria, including molecular and genetic techniques used in research.",,2,2
8012,V MPM 587,Animal Virology,"Principles of animal virology. Biology of viruses associated with diseases of veterinary importance, including mechanisms of pathogenesis.",,4,4
8013,V MPM 590,Special Topics,,,1-5,5-Jan
8014,V MPM 596,International Preceptorship,"International Preceptorships and Study Abroad Group programs. This course will provide opportunties for students to be involved in applied clinical, production, and/or research experiences in international locations. The course consists of 40 hour per week experiential learning opportunties.   Offered on a satisfactory-fail basis only.",,2,2
8015,V MPM 599,Creative Component,"A written report based on laboratory research, library reading, or topics related to the student's area of specialization and approved by the student's advisory committee.",,arr,arr
8016,V MPM 604,Seminar,Offered on a satisfactory-fail basis only.,,1,1
8017,V MPM 608,Molecular Virology,Advanced study of virus host-cell interactions. Molecular mechanisms of viral replication and pathogenesis.,,3,3
8018,V MPM 615,Molecular Immunology,Current topics in molecular aspects of immunology: T and B cell receptors; major histocompatibility complex; antibody structure; immunosuppressive drugs and viruses; and intracellular signaling pathways leading to expression of genes that control and activate immune function.,,3,3
8019,V MPM 625,Mechanisms of Bacterial Pathogenesis,"Review of current concepts in specific areas of microbial pathogenesis including the genetic basis for bacterial disease, genetic regulation and control of virulence factors and their mechanisms of action, and host-pathogen interactions at the cellular and molecular levels. The application of microbial genetics to understanding pathogenesis will be included.",,4,4
8020,V MPM 629,Advanced Topics in Cellular Immunology,"Current topics and literature in cellular immunology. Topics include thymocyte development and selection, T cell interactions with antigen presenting cells, and lymphocyte effector functions.",,2,2
8021,V MPM 660,Pathogenesis of Persistent Infections,"Study of current knowledge related to host pathogen interactions during persistent and chronic infections by bacteria, viruses and parasites.",,2,2
8022,V MPM 690,Current Topics,Colloquia or advanced study of specific topics in a specialized field.,,1-3,3-Jan
