id,number,name,description,prereqs,numCredits,departmentID
5505,"L A 401","Community Design","Physical planning and design of places utilizing community-based methods. Projects address social and cultural dimensions of placemaking such as reuse of abandoned sites, in-fill development, and community visioning. Emphasis on development of user-client relationship skills and design research. Integrated seminar component.","L A 402",6,102
5506,"L A 401H","Community Design: Honors","Physical planning and design of places utilizing community-based methods. Projects address social and cultural dimensions of placemaking such as reuse of abandoned sites, in-fill development, and community visioning. Emphasis on development of user-client relationship skills and design research. Integrated seminar component.","L A 402",7,102
5507,"L A 402","Urban Design","Comprehensive planning and design for urban sites or for sites within urban contexts. Projects typically include planning for a variety of integrated land uses, and cover the full range of design scales from master planning to proposals for site details. Emphasis on written and verbal as well as graphic communications. Integrated seminar component.","L A 302",6,102
5508,"L A 402H","Urban Design: Honors","Comprehensive planning and design for urban sites or for sites within urban contexts. Projects typically include planning for a variety of integrated land uses, and cover the full range of design scales from master planning to proposals for site details. Emphasis on written and verbal as well as graphic communications. Integrated seminar component.","L A 302",7,102
5509,"L A 403H","Senior Thesis Preparation Tutorial","Preparation for senior thesis.","L A 402, permission of thesis advisor, enrollment in Honors program",2,102
5510,"L A 404","Advanced Landscape Architectural Design","Advanced forum for the demonstration of sophistication in landscape architectural design. Experimentation and innovation are encouraged.","L A 401",6,102
5511,"L A 404H","Advanced Landscape Architectural Design: Honors","Advanced forum for the demonstration of sophistication in landscape architectural design. Experimentation and innovation are encouraged.","L A 401",6-7,102
5512,"L A 405H","Senior Thesis","Individual advanced forum for the demonstration of sophistication in landscape architectural design. Experimentation and innovation are expected.","L A 401, L A 402, L A 403, enrollment in Honors program and permission of adviser, chair and thesis adviser",6,102
5513,"L A 417","Urban and Peri-urban Watershed Assessment","Assessment and reduction of impacts in urban and peri-urban watershed areas. Course prepares students to work with various analysis methods for vegetation, topography, stormwater and stream condition as well as work with data from other disciplines. Emphasis on communicating with the public. Introductory GIS and GPS technologies are utilized. Learning is largely field-based.","Junior classification and 6 credits of natural science",3,102
5514,"L A 421","Advanced Planting Design","Theory and practice of planting design, with emphasis on the ecological, cultural, and aesthetic factors affecting planting design and vegetation management in the built environment. Research, case studies, and design projects.","L A 322 or permission of instructor",3,102
5515,"L A 442","Professional Practice","Studies of conventional and developing forms of public and private practice. Explore relationships between professional life and the culture of the professional design firm; investigate firm identities and structures; understand design projects, their delivery process, and contractual agreements. Lecture and class discussion.","L A 481",2,102
5516,"L A 444","Landscape Architecture Independent Educational Enrichment","Independent educational enrichment through exploration of landscape architectural practice in a professional internship, international studies, or out-of-region national study experience.","L A 341 or permission of adviser and chair",R,102
5517,"L A 444A","Landscape Architecture Independent Educational Enrichment: Professional Internship","Independent educational enrichment through exploration of landscape architectural practice in a professional internship, international studies, or out-of-region national study experience.","L A 341 or permission of adviser and chair",R,102
5518,"L A 444B","Landscape Architecture Independent Educational Enrichment: Study Abroad","Independent educational enrichment through exploration of landscape architectural practice in a professional internship, international studies, or out-of-region national study experience.","L A 341 or permission of adviser and chair",R,102
5519,"L A 444C","Landscape Architecture Independent Educational Enrichment: National Student Exchange","Independent educational enrichment through exploration of landscape architectural practice in a professional internship, international studies, or out-of-region national study experience.","L A 341 or permission of adviser and chair",R,102
5520,"L A 457","Landscape Parametrics & Design Computing","Exploration of computational representation of the landscape palette.  Geometric parameters for terrain, vegetation, water, weather and lighting effects are modeled and developed algorithmically. Basic computer programming logic and computer graphics interactivity are combined to produce stand-alone software application prototypes that address core landscape design principles.","Junior classification",3,102
5521,"L A 461I","Introduction to GIS","Descriptive and predictive GIS modeling techniques, spatial statistics, and map algebra. Application of GIS   modeling techniques to environmental planning and resource management.",,4,102
5522,"L A 478","Topical Studies in Landscape Architecture","Offerings vary with each term; check with department for available sections. Course contact hours can range from (2-0) to (3-0) depending on number of credits.","L A 202 or senior or graduate classification",2-3,102
5523,"L A 478A","Topical Studies in Landscape Architecture: Landscape Design","Offerings vary with each term; check with department for available sections.","L A 202 or senior or graduate classification",2-3,102
5524,"L A 478B","Topical Studies in Landscape Architecture: Planting Design","Offerings vary with each term; check with department for available sections.","L A 202 or senior or graduate classification",2-3,102
5525,"L A 478D","Topical Studies in Landscape Architecture: History/Theory/Criticism","Offerings vary with each term; check with department for available sections.","L A 202 or senior or graduate classification",2-3,102
5526,"L A 478E","Topical Studies in Landscape Architecture: Landscape Planning","Offerings vary with each term; check with department for available sections.","L A 202 or senior or graduate classification",2-3,102
5527,"L A 478F","Topical Studies in Landscape Architecture: Urban Design","Offerings vary with each term; check with department for available sections.","L A 202 or senior or graduate classification",2-3,102
5528,"L A 478G","Topical Studies in Landscape Architecture: Graphics","Offerings vary with each term; check with department for available sections.","L A 202 or senior or graduate classification",2-3,102
5529,"L A 478H","Topical Studies in Landscape Architecture: Honors","Offerings vary with each term; check with department for available sections.","L A 202 or senior or graduate classification",2-3,102
5530,"L A 478I","Topical Studies in Landscape Architecture: Interdisciplinary Studies","Offerings vary with each term; check with department for available sections.","L A 202 or senior or graduate classification",2-3,102
5531,"L A 478J","Topical Studies in Landscape Architecture: International Studies","Offerings vary with each term; check with department for available sections.","L A 202 or senior or graduate classification",2-3,102
5532,"L A 478K","Topical Studies in Landscape Architecture: Computer Applications","Offerings vary with each term; check with department for available sections.","L A 202 or senior classification or graduate standing",2-3,102
5533,"L A 478L","Topical Studies in Landscape Architecture: Ecological Design","Offerings vary with each term; check with department for available sections.","L A 202 or senior classification or graduate standing",2-3,102
5534,"L A 478M","Topical Studies in Landscape Architecture: Landscape Architecture: Social/Behavioral","Offerings vary with each term; check with department for available sections.","L A 202 or senior classification or graduate standing",2-3,102
5535,"L A 478N","Topical Studies in Landscape Architecture: Natural Resources","Offerings vary with each term; check with department for available sections.","L A 202 or senior classification or graduate standing",2-3,102
5536,"L A 481","Landscape Construction","Development of construction details with emphasis on materials and their aesthetic and functional uses as building materials.  Explore characteristics and uses of construction materials and application of wood systems, paving systems, retaining walls, masonry and concrete systems, and metals; investigate structural theory of wood systems. Preliminary preparation of construction documents.","L A 381",3,102
5537,"L A 482","Advanced Landscape Construction","Advanced site construction issues, with emphasis on water and irrigation systems, mechanical and electrical systems, site lighting, proposal preparation, project scheduling, project costing and estimating, and master specification editing.","L A 481",3,102
5538,"L A 490","Independent Study","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5539,"L A 490A","Independent Study: Landscape Design","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5540,"L A 490B","Independent Study: Planting Design","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5541,"L A 490C","Independent Study: Construction","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5542,"L A 490D","Independent Study: History/Theory/Criticism","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5543,"L A 490E","Independent Study: Landscape Planning","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5544,"L A 490F","Independent Study: Urban Design","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5545,"L A 490G","Independent Study: Graphics","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5546,"L A 490H","Independent Study: Honors","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5547,"L A 490I","Independent Study: Interdisciplinary Studies","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5548,"L A 490J","Independent Study: International Studies","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5549,"L A 490K","Independent Study: Computer Applications","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5550,"L A 490L","Independent Study: Ecological Design","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5551,"L A 490M","Independent Study: Social/Behavioral","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5552,"L A 490N","Independent Study: Natural Resources","Investigation of a topic of special interest to the student.","Written approval of instructor and department chair on required form",1-6,102
5553,"L A 491","Environmental Law and Planning","Environmental law and policy as applied in planning at the local and state levels. Brownfields, environmental justice, water quality, air quality, wetland and floodplain management, and local government involvement in ecological protection through land use planning and other programs.","6 credits in natural sciences",3,102
5554,"L A 504","Landworks: Advanced Landscape Architecture","Graduate studio in landscape architectural design working on complex sites involving multiple scales of design. Course emphasizes advanced skills in design research and representation and application of theory, as well as technical competency and teamwork. Development of original ideas, experimentation, and innovation.","Graduate classification",6,102
5555,"L A 517","Urban and Peri-urban Watershed Assessment","Assessment and reduction of impacts in urban and peri-urban watershed areas. Course prepares students to work with various analysis methods for vegetation, topography, stormwater and stream condition as well as work with data from other disciplines. Emphasis on communicating with the public. Introductory GIS and GPS technologies are utilized. Learning is largely field-based.","Junior classification and 6 credits of natural science",3,102
5556,"L A 521","Advanced Planting Design","Theory and practice of planting design, with emphasis on the ecological, cultural, and aesthetic factors affecting planting design and vegetation management in the built environment. Research, case studies, and design projects.","L A 322 or permission of instructor",3,102
5557,"L A 522","Advanced Plant Technology","Planting design and emergent technologies for design performance in the urban built environment. Emphasis on innovative strategies for planting design and plant technology in building design, sustainable streetscapes, and urban systems integrating storm water and urban â€œhardscapeâ€ design. Interviews with practitioners, technical experts and agency program leaders will complement readings, lecture and site visits to exemplary project sites.","Junior or graduate standing",3,102
5558,"L A 541","Principles of Research for Landscape Architects","Examination of design inquiry and research methods appropriate to landscape architectural projects, including bibliographical, historical, numerical, statistical, survey, and geographical methods. Readings, discussions, and application problems. Preparation of a research proposal.","Graduate standing",3,102
5559,"L A 567","Advanced GIS Landscape Modeling","Application of Geographic Information Systems (GIS) modeling techniques to landscape planning and management issues. Selection, acquisition, and conversion of digital landscape data. Modeling applications for studio projects, outreach projects, and research projects.","L A 302 or C R P 451/C R P 551",3,102
5560,"L A 571","Landscape Architectural  Theory I","Examination of the development of ideas in landscape architecture in their historical context of social practices and knowledge systems. Emphasis on exposure to key modern and contemporary texts and projects in landscape architecture, architecture, art, and related fields. Readings, discussions, and writings.","graduate classification or permission of instructor",3,102
5561,"L A 573","Landscape Architectural Theory II","Exploration of major theories and emerging practices of landscape architectural design and their relationships to broader, cultural and theoretical perspectives. Emphasis on developing critical ways of analyzing ideas. Lectures, readings, discussion, and writings.","Graduate standing or permission of instructor",3,102
5562,"L A 580","Thesis, Creative Component Tutorial","Hands-on participation in a creative or research activity in the student's area of specialization. Development of a detailed prospectus that defines the thesis or creative component.","Permission of major professor",1-4,102
5563,"L A 590","Special Topics",,"graduate standing.",1-6,102
5564,"L A 590A","Special Topics: Landscape Design",,"graduate standing.",1-6,102
5565,"L A 590B","Special Topics: Planting Design",,"graduate standing.",1-6,102
5566,"L A 590C","Special Topics: Construction",,"graduate standing.",1-6,102
5567,"L A 590D","Special Topics: History/Theory/Criticism",,"graduate standing.",1-6,102
5568,"L A 590E","Special Topics: Landscape Planning",,"graduate standing.",1-6,102
5569,"L A 590F","Special Topics: Urban Design",,"graduate standing.",1-6,102
5570,"L A 590G","Special Topics: Graphics",,"graduate standing.",1-6,102
5571,"L A 590I","Special Topics: Interdisciplinary Studies",,"graduate standing.",1-6,102
5572,"L A 590J","Special Topics: International Studies",,"graduate standing.",1-6,102
5573,"L A 590K","Special Topics: Computer Applications",,"graduate standing.",1-6,102
5574,"L A 590L","Special Topics: Ecological Design",,"graduate standing.",1-6,102
5575,"L A 590M","Special Topics: Social/Behavioral",,"graduate standing.",1-6,102
5576,"L A 590N","Special Topics: Natural Resources",,"graduate standing.",1-6,102
5577,"L A 591","Environmental Law and Planning","Environmental law and policy as applied in planning at the local and state levels. Brownfields, environmental justice, water quality, air quality, wetland and floodplain management, and local government involvement in ecological protection through land use planning and other programs.","6 credits in natural sciences",3,102
5578,"L A 599","Creative Component","Comprehensive study and original development of a project selected by the student and approved by the major professor. Completed project must be submitted to and approved by a graduate faculty committee as evidence of mastery of the principles of landscape architecture.","Permission of major professor",1-8,102
5579,"L A 699","Thesis Research",,"Permission of major professor",1-8,102
5580,"LATIN 101","Elementary Latin I","Grammar and vocabulary of classical Latin, within the context of Roman culture; reading knowledge through texts adapted from classical authors.",,4,103
5581,"LATIN 102","Elementary Latin II","Grammar and vocabulary of classical Latin, within the context of Roman culture; reading knowledge through texts adapted from classical authors.","LATIN 101",4,103
5582,"LATIN 201","Intermediate Latin","Emphasis on grammatical principles, composition and reading Latin texts.","LATIN 102",arr,103
5583,"LATIN 332","Introduction to Latin Literature","Readings in Latin Literature with emphasis on critical analysis of style, structure or thought.","LATIN 201",arr,103
5584,"LATIN 490","Independent Study","Designed to meet the needs of students who seek work in areas other than those in which courses are offered, or who desire to integrate a study of literature or language with special problems in major fields.   No more than 9 credits in Latin 490 may be counted toward graduation.","6 credits in Latin and permission of department chair",1-6,103
5585,"LD ST 122","Leading with Purpose","Designed for emerging student leaders, this course will provide students with basic leadership skills covering strengths identification, personal skills development, goal achievement, values-based behaviors, and mission statement development.",,1,104
5586,"LD ST 270","Campus Leadership Development","Theory and practice of effective leadership in a campus context. Study of effective leadership models and leadership in complex systems. Expectation of engagement in campus activities.",,3,104
5587,"LD ST 290","Special Projects","Special projects for the Leadership Studies program.","Freshman or sophomore classification; Permission of the instructor.",1-3,104
5588,"LD ST 322","Leadership Styles and Strategies in a Diverse Society","Developing and practicing leadership skills through understanding personal leadership styles, leadership theory and communication theory, including how they relate to gender issues and cultural diversity; exploring personality types, communication styles, and leadership styles, networking and developing mentoring relationships; setting goals and participating in leadership opportunities and service.","Sophomore classification",3,104
5589,"LD ST 333","Women and Leadership","This course will examine historical and contemporary barriers to and opportunities for women's leadership in a variety of contexts, including professions and public service. It will examine theories of women's leadership, gender differences in leadership styles, and the perceptions and expectations about women's leadership. Multiple perspectives of women's leadership will be highlighted through lectures, readings, videos, guest speakers and group work.","Sophomore classification",3,104
5590,"LD ST 422","Leadership Capstone Seminar: Theory to Practice","Critical analysis of leadership theory to inform practice, with emphasis on ethical leadership and the alignment of personal and organizational values.","LD ST 322",3,104
5591,"LD ST 488","Research on Women and Leadership","Research on women and leadership in selected content areas (e.g., business, education, politics and public service, and popular culture). Following an overview of quantitative and qualitative methods and critical analyses of journal articles on women and leadership, students will work in groups in selected content areas to research, write and present paper.",,3,104
5592,"LD ST 490","Independent Study","Independent study for the Leadership Studies program.   No more than 6 credits of LD ST 490 may count toward graduation.","Permission of the instructor.",1-3,104
5593,"L L S 112","Foundations of Learning and Productive Team Membership","Introduction to developing intentional learners and worthy team members. Learning as the foundation of human enterprise; intellectual curiosity; ethics as a personal responsibility; everyday leadership; effective team and community interactions including team learning and the effects on individuals; and growth through understanding self, demonstrating ownership of own learning, and internalizing commitment to helping others. Intentional mental processing as a means of enhancing learning. Interconnectedness of the individual, the community, and the world.",,2,105
5594,"L L S 114","Developing Responsible Learners and Effective Leaders","Focus on team and community. Application of fundamentals of human learning; evidence of development as a responsible learner; intentional mental processing as a habit of mind; planning and facilitating learning opportunities for others; responsibility of the individual to the community and the world; leading from within; holding self and others accountable for growth and development as learners and leaders.","L L S 112",2,105
5595,"L L S 212","Habits of Mind and Decision-Making in Leadership","Application of theories about habits of mind, mindset, and critical thinking to structured cross-disciplinary problem-solving scenarios. Development and utilization of personal and team action plans for specific habits of mind associated with leadership.","L L S 114",2,105
5596,"L L S 312","Problem Solving and Action Planning in Leadership","Transfer of theories about learning and leadership to practice. Leading for change. Using knowledge of self and interactive skills to explore interdependence. Development of an action plan that addresses a real-world problem.","L L S 212",2,105
5597,"L L S 412","Learning and Leadership in Practice","Teamwork in a practicum to execute a project that will positively change the community.  Application of learning and leadership theory: framing a problem, justifying approaches, taking action, getting feedback, and planning new actions.  Application to be accompanied by continual reflection and feedback.  Development of final portfolio to showcase cumulative leadership growth in the Learning and Leadership Sciences minor.","L L S 312",3,105
5598,"LAS 101","Orientation for Open Option and Preprofessional Students","Introduction to all undergraduate colleges. Provides information about university resources and services, assists with a successful academic transition to the university, and helps initiate the process of identifying academic major(s) and eventual career paths.  Required of all first-year students in Open Option and Preprofessional Programs.   Offered on a satisfactory-fail basis only.",,1,106
5599,"LAS 103","Frontiers of the Discipline","Learning Community/ Seminar focusing entirely on the ""cutting edge"" research activities of faculty members.   Offered on a satisfactory-fail basis only.  A maximum of three total credits of LAS 103A, 103B, 103C, 103D, 103E can count for graduation.",,1,106
5600,"LAS 103A","Frontiers of the Discipline: General","Learning Community/ Seminar focusing entirely on the ""cutting edge"" research activities of faculty members.   Offered on a satisfactory-fail basis only.  A maximum of three total credits of LAS 103A, 103B, 103C, 103D, 103E can count for graduation.",,1,106
5601,"LAS 103B","Frontiers of the Discipline: Humanities","Learning Community/ Seminar focusing entirely on the ""cutting edge"" research activities of faculty members.   Offered on a satisfactory-fail basis only.  A maximum of three total credits of LAS 103A, 103B, 103C, 103D, 103E can count for graduation.",,1,106
5602,"LAS 103C","Frontiers of the Discipline: Communication","Learning Community/ Seminar focusing entirely on the ""cutting edge"" research activities of faculty members.   Offered on a satisfactory-fail basis only.  A maximum of three total credits of LAS 103A, 103B, 103C, 103D, 103E can count for graduation.",,1,106
5603,"LAS 103D","Frontiers of the Discipline: Mathematics and Natural Sciences","Learning Community/ Seminar focusing entirely on the ""cutting edge"" research activities of faculty members.   Offered on a satisfactory-fail basis only.  A maximum of three total credits of LAS 103A, 103B, 103C, 103D, 103E can count for graduation.",,1,106
5604,"LAS 103E","Frontiers of the Discipline: Social Sciences","Learning Community/ Seminar focusing entirely on the ""cutting edge"" research activities of faculty members.   Offered on a satisfactory-fail basis only.  A maximum of three total credits of LAS 103A, 103B, 103C, 103D, 103E can count for graduation.",,1,106
5605,"LAS 125",Connections,"Links a large lecture class with a small learning community / seminar.  In each case the professor teaching the large lecture facilitates a small weekly seminar.  Informal discussions about critical issues of the day connected to lecture topics through films, public lectures and other events which students and the faculty leader attend.   Offered on a satisfactory-fail basis only.","First year student",1,106
5606,"LAS 125A","Connections: General","Links a large lecture class with a small learning community / seminar.  In each case the professor teaching the large lecture facilitates a small weekly seminar.  Informal discussions about critical issues of the day connected to lecture topics through films, public lectures and other events which students and the faculty leader attend.   Offered on a satisfactory-fail basis only.","First year student",1,106
5607,"LAS 125B","Connections: Humanities","Links a large lecture class with a small learning community / seminar.  In each case the professor teaching the large lecture facilitates a small weekly seminar.  Informal discussions about critical issues of the day connected to lecture topics through films, public lectures and other events which students and the faculty leader attend.   Offered on a satisfactory-fail basis only.","First year student",1,106
5608,"LAS 125C","Connections: Communication","Links a large lecture class with a small learning community / seminar.  In each case the professor teaching the large lecture facilitates a small weekly seminar.  Informal discussions about critical issues of the day connected to lecture topics through films, public lectures and other events which students and the faculty leader attend.   Offered on a satisfactory-fail basis only.","First year student",1,106
5609,"LAS 125D","Connections: Mathematics and Natural Sciences","Links a large lecture class with a small learning community / seminar.  In each case the professor teaching the large lecture facilitates a small weekly seminar.  Informal discussions about critical issues of the day connected to lecture topics through films, public lectures and other events which students and the faculty leader attend.   Offered on a satisfactory-fail basis only.","First year student",1,106
5610,"LAS 125E","Connections: Social Sciences","Links a large lecture class with a small learning community / seminar.  In each case the professor teaching the large lecture facilitates a small weekly seminar.  Informal discussions about critical issues of the day connected to lecture topics through films, public lectures and other events which students and the faculty leader attend.   Offered on a satisfactory-fail basis only.","First year student",1,106
5611,"LAS 151","Deanâ€™s Leadership Seminar I","Beginning to study leadership through applied examples, including the importance of community, communication, trust, shared responsibility, modeling the way, and inspiring a shared vision. Students will be introduced to campus leadership opportunities.","Selection based on application.",1,106
5612,"LAS 152","Deanâ€™s Leadership Seminar II","Continuing to study leadership through applied examples, including the importance of challenging the process, enabling others to act, and encouraging the heart. Students will engage more deeply in campus leadership opportunities.","Selection based on application.",1,106
5613,"LAS 290","Special Projects",,"Permission of the College of Liberal Arts and Sciences.",1-3,106
5614,"LAS 290A","Special Projects: LAS Ambassadors",,"Permission of the College of Liberal Arts and Sciences.",1-3,106
5615,"LAS 290B","Special Projects: Advising Project",,"Permission of the College of Liberal Arts and Sciences.",1-3,106
5616,"LAS 290C","Special Projects: Pre-Law Project",,"Permission of the College of Liberal Arts and Sciences.",1-3,106
5617,"LAS 290D","Special Projects: General",,"Permission of the College of Liberal Arts and Sciences.",1-3,106
5618,"LAS 291","Service Learning","Service work as appropriate to the student s degree program. Academic work under faculty supervision may include written project, report, and guided reading.   Offered on a satisfactory-fail basis only.","Permission of the dean of the College of Liberal Arts and Sciences",1-4,106
5619,"LAS 291A","Service Learning: General","Service work as appropriate to the student s degree program. Academic work under faculty supervision may include written project, report, and guided reading.   Offered on a satisfactory-fail basis only.","Permission of the dean of the College of Liberal Arts and Sciences",1-4,106
5620,"LAS 291B","Service Learning: U.S. Diversity Project","Service work as appropriate to the student s degree program. Academic work under faculty supervision may include written project, report, and guided reading.   Offered on a satisfactory-fail basis only.","Permission of the dean of the College of Liberal Arts and Sciences",1-4,106
5621,"LAS 291C","Service Learning: International Perspectives Project","Service work as appropriate to the student s degree program. Academic work under faculty supervision may include written project, report, and guided reading.   Offered on a satisfactory-fail basis only.","Permission of the dean of the College of Liberal Arts and Sciences",1-4,106
5622,"LAS 298",Internship/Co-op,"Students participating in an internship or co-op on a full-time basis must register for this course prior to beginning their work experience to remain in full-time student status.   Offered on a satisfactory-fail basis only.","Permission of Liberal Arts and Sciences Career Services; Liberal Arts and Sciences majors; sophomore classification",R,106
5623,"LAS 350","Topics in Interdisciplinary Studies",,,1-4,106
5624,"LAS 350A","Topics in Interdisciplinary Studies: Interdisciplinary",,,1-4,106
5625,"LAS 350B","Topics in Interdisciplinary Studies: Humanities",,,1-4,106
5626,"LAS 350C","Topics in Interdisciplinary Studies: Mathematics and Nature Science",,,1-4,106
5627,"LAS 350D","Topics in Interdisciplinary Studies: Social Sciences",,,1-4,106
5628,"LAS 385","The Holocaust","An examination of the religious, social, scientific, and historical contexts for the Nazi destruction of European Jewry. Topics covered include anti-Semitism, German volkish philosophy, eugenics, World War II, the Final Solution, rescuers, and contemporary issues.",,3,106
5629,"LAS 398",Internship/Co-op,"Students participating in an internship or co-op on a full-time basis must register for this course prior to beginning their work experience to remain in full-time student status.   Offered on a satisfactory-fail basis only.","Permission of Liberal Arts and Sciences Career Services; Liberal Arts and Sciences majors; junior classification",R,106
5630,"LAS 490","Independent Study","No more than 9 credits of LAS 490 may be applied toward graduation.","Permission of the instructor for LAS 490G; other topics need: permission of the dean of the College of Liberal Arts and Sciences",arr,106
5631,"LAS 490A","Independent Study: General","No more than 9 credits of LAS 490 may be applied toward graduation.","Permission of the instructor for LAS 490G; other topics need: permission of the dean of the College of Liberal Arts and Sciences",arr,106
5632,"LAS 490E","Independent Study: Entrepreneurial Studies","No more than 9 credits of LAS 490 may be applied toward graduation.","Permission of the instructor for LAS 490G; other topics need: permission of the dean of the College of Liberal Arts and Sciences",arr,106
5633,"LAS 491","Service Learning","Service work as appropriate to the student's degree program. Academic work under faculty supervision may include written project, report, and guided reading.","Permission of the dean of the College of Liberal Arts and Sciences",1-4,106
5634,"LAS 491A","Service Learning: General","Service work as appropriate to the student's degree program. Academic work under faculty supervision may include written project, report, and guided reading.","Permission of the dean of the College of Liberal Arts and Sciences",1-4,106
5635,"LAS 491B","Service Learning: U.S. Diversity Project","Service work as appropriate to the student's degree program. Academic work under faculty supervision may include written project, report, and guided reading.","Permission of the dean of the College of Liberal Arts and Sciences",1-4,106
5636,"LAS 491C","Service Learning: International Perspectives Project","Service work as appropriate to the student's degree program. Academic work under faculty supervision may include written project, report, and guided reading.","Permission of the dean of the College of Liberal Arts and Sciences",1-4,106
5637,"LAS 498",Internship/Co-op,"Students participating in an internship or co-op on a full-time basis must register for this course prior to beginning their work experience to remain in full-time student status.   Offered on a satisfactory-fail basis only.","Permission of Liberal Arts and Sciences Career Services; Liberal Arts and Sciences majors; senior classification",R,106
5638,"LAS 499",Internship,"Semester-long internship appropriate to the student's degree program. Must include an academic component under faculty supervision such as written projects, reports, and guided reading. Students must register for this course prior to beginning their internship.","Permission of Liberal Arts and Sciences Career Services; Liberal Arts and Sciences majors",1-4,106
5639,"LIB 160","Information Literacy","Eight-week course required for undergraduate degree. Provides a solid understanding of information literacy and the research process with emphases on finding, evaluating, and using scholarly information; the ethical and legal framework related to information use; and utilization of library discovery tools. To be taken as early as possible in the student's undergraduate career. See course descriptions of ENGL 150 and ENGL 250 for requirements related to LIB 160.   Offered on a satisfactory-fail basis only.","For students whose native language is not English: Completion of ENGL 101 requirement.",1,107
5641,"LING 101","Introduction to the Study of Linguistics","Cross-disciplinary perspectives on the study of linguistics.  Applications of linguistics to real world problems.  Careers in linguistics.",,1,108
5642,"LING 119","Introduction to World Languages","Study of language diversity and the personal, social and political effects of diversity. Language families, attitudes toward language and language use, language and culture, multilingualism, foreign language learning, written codes, official languages, and language policy.",,3,108
5643,"LING 120","Computers and Language","Introduction to the use of linguistic knowledge in computer applications today and the basic computational techniques used in such applications.  The development of these techniques throughout the history of computational linguistics.  How the study of language has contributed to the advancement of technology and how certain computational problems have influenced the way linguists study language.",,3,108
5644,"LING 207","Introduction to Symbolic Logic","Introduction to fundamental logical concepts and logical symbolism. Development of natural deduction through first order predicate logic with identity. Applications to arguments in ordinary English and to philosophical issues. Linguistics majors should take LING/PHIL 207 as early as possible.",,3,108
5645,"LING 219","Introduction to Linguistics","Introduction to linguistic concepts and principles of linguistic analysis with English as the primary source of data. Sound and writing systems, sentence structure, vocabulary, and meaning. Issues in the study of usage, regional and social dialects, language acquisition, and language change.","Sophomore classification",3,108
5646,"LING 220","Descriptive English Grammar","Overview of grammatical structures and functions. Parts of speech; phrase, clause, and sentence structure; sentence types and sentence analysis; rhetorical grammar and sentence style; terminology. Not a remedial, English composition, or ESL course.","ENGL 250",3,108
5647,"LING 275","Introduction to Communication Disorders","Survey of nature, causes, and types of major communication disorders including phonological, adult and child language, voice, cleft palate, fluency, and hearing disorders.",,3,108
5648,"LING 286","Communicating with the Deaf","Learn to communicate with the deaf using Signed English and Signed Pidgin English.  Other topics covered include types, causes, and consequences of hearing loss, hearing technology (hearing aids, assistive listening devices, and cochlear implants), education of hearing-impaired children, Deaf culture, and the history of manual communication.",,3,108
5649,"LING 305","Language, Thought and Action","The study of symbolic processes and how meaning is conveyed in words, sentences, and utterances; discussion of modern theories of meaning; and an exploration of relationships among language, thought and action.","ENGL 250",3,108
5650,"LING 309","Introduction to Culture and Language","Introduction to study of language, culture and society from an anthropological perspective. Focus on language and thought,   ethnography of speaking, discourse and narrative, writing and literacy, and media communication. Discussion of key theories and   methods of linguistic anthropology.","ANTHR 201 recommended",3,108
5651,"LING 331","Theory of Computing","Models of computation: finite state automata, pushdown automata and Turing machines. Study of grammars and their relation to automata. Limits of digital computation, unsolvability and Church-Turing thesis. Chomsky hierarchy and relations between classes of languages.","Minimum of C- in COM S 228, MATH 166, and in COM S 230 or CPR E 310;  ENGL 250",3,108
5652,"LING 351","Introduction to Spanish-English Translation","Introduction to the theory, methods, techniques, and problems of translation. Consideration of material from business, literature, and the social sciences. Taught in Spanish.","SPAN 301, SPAN 303 or SPAN 304",3,108
5653,"LING 352","Introduction to Spanish Phonology","An introductory study of the articulation, classification, distribution, and regional variations of the sounds of the Spanish language. Taught in Spanish.","SPAN 301, SPAN 303 or SPAN 304",3,108
5654,"LING 354","Introduction to Spanish-English Interpretation","Introduction to the theory, methods, techniques, and problems of consecutive and simultaneous interpretation.  Consideration of material from business, agriculture, law, design, medicine, literature, advertisement, and sports. Taught in Spanish.","SPAN 351",3,108
5655,"LING 371","Phonetics and Phonology","Analysis of speech through study of individual sounds, their variations, and relationships in context; English phonology; practice in auditory discrimination and transcription of sounds of American English; description of speech sounds in terms of their production, transmission, and perception.","ENGL 219",3,108
