"STB 543","Admission to the Graduate Seed Technology and Business Program or approval of the instructor"
"STB 547","Admission to the Seed Technology and Business Master's Degree Program or approval of the instructor"
"STB 592","Admission to the Graduate Program in Seed Technology and Business/Consent of instructor"
"STB 595","Admission to the Seed Technology and Business Master's Degree Program or approval of the instructor"
"STB 599","Admission to the Master's in Seed Technology and Business degree program and permission of the instructor"
"SOC 110",""
"SOC 115",""
"SOC 134",""
"SOC 134H",""
"SOC 219","SOC 134"
"SOC 220",""
"SOC 230",""
"SOC 235","SOC 134"
"SOC 241","SOC 134"
"SOC 302","SOC 134; STAT 101; or concurrent enrollment in STAT 101"
"SOC 305","SOC 134"
"SOC 310","SOC 134"
"SOC 325",""
"SOC 327","SOC 134"
"SOC 328","SOC 134 or W S 201"
"SOC 330","SOC 134"
"SOC 331","SOC 134"
"SOC 332","SOC 134"
"SOC 334","A course in political science or sociology"
"SOC 340","SOC 134"
"SOC 341","SOC 134"
"SOC 345","SOC 134"
"SOC 348","SOC 134"
"SOC 351","SOC 241 or CJ ST 240"
"SOC 352","SOC 241 or CJ ST 240"
"SOC 362","ECON 101 or SOC 134, junior or senior status in the College of Agriculture"
"SOC 377","Prior course work in Religious Studies or Sociology recommended"
"SOC 380","SOC 134"
"SOC 381","SOC 305 or PSYCH 280"
"SOC 382","SOC 134 or 3 credits of ENV S"
"SOC 401","9 credits in sociology"
"SOC 402","SOC 241 or CJ ST 240"
"SOC 411","SOC 134 plus 3 credits in social sciences"
"SOC 412","Most of major core courses, senior classification"
"SOC 415","SOC 134 plus 3 credits in social sciences"
"SOC 460","Junior or senior classification; permission of criminal justice studies coordinator; major or minor in criminal justice or sociology"
"SOC 464","6 credits in sociology"
"SOC 484","6 credits in sociology and permission from instructor"
"SOC 485","6 credits in sociology"
"SOC 490","6 credits in sociology and permission of instructor"
"SOC 490A","6 credits in sociology and permission of instructor"
"SOC 490B","6 credits in sociology and permission of instructor"
"SOC 490E","6 credits in sociology and permission of instructor"
"SOC 490H","6 credits in sociology and permission of instructor"
"SOC 506","SOC 401 or SOC 505"
"SOC 509","Senior or above classification"
"SOC 511","SOC 302 and STAT 401"
"SOC 512","STAT 404 or with instructor's permission"
"SOC 513","SOC 511"
"SOC 520","SOC 305 or PSYCH 280"
"SOC 525","SOC 305 or PSYCH 280"
"SOC 525A","SOC 305 or PSYCH 280"
"SOC 525B","SOC 305 or PSYCH 280"
"SOC 525C","SOC 305 or PSYCH 280"
"SOC 525D","SOC 305 or PSYCH 280"
"SOC 527","6 credits in sociology"
"SOC 527A","6 credits in sociology"
"SOC 527B","6 credits in sociology"
"SOC 533","SOC 511 or equivalent"
"SOC 534","6 credits in sociology"
"SOC 536","6 credits in sociology"
"SOC 540","6 graduate credits in sociology"
"SOC 543","6 credits in sociology"
"SOC 543A","6 credits in sociology"
"SOC 543B","6 credits in sociology"
"SOC 543C","6 credits in sociology"
"SOC 544","6 credits in sociology"
"SOC 549","6 credits in sociology"
"SOC 550","6 credits in sociology"
"SOC 551","6 credits in sociology"
"SOC 551B","6 credits in sociology"
"SOC 582","6 credits in sociology"
"SOC 584","6 credits in sociology"
"SOC 585","6 credits in sociology"
"SOC 590","6 credits in sociology; senior or graduate classification"
"SOC 590A","6 credits in sociology; senior or graduate classification"
"SOC 590B","6 credits in sociology; senior or graduate classification"
"SOC 591","Formal admission into the sociology graduate program"
"SOC 599",""
"SOC 599A",""
"SOC 599B",""
"SOC 607","6 graduate credits in sociology"
"SOC 610","Graduate classification, permission of instructor"
"SOC 613","SOC 512 and STAT 404, or with instructors permission."
"SOC 698",""
"SOC 698L",""
"SOC 698M",""
"SOC 698N",""
"SOC 698O",""
"SOC 698P",""
"SOC 698Q",""
"SOC 698R",""
"SOC 698S",""
"SOC 698T",""
"SOC 698U",""
"SOC 699",""
"SOC 699A",""
"SOC 699B",""
"S E 101",""
"S E 166",""
"S E 185","MATH 143 or satisfactory scores on mathematics placement examinations; credit or enrollment in MATH 165"
"S E 298","Permission of department and Career Services"
"S E 319","COM S 228"
"S E 329","COM S 309"
"S E 339","S E 319"
"S E 342","Minimum of C- in COM S 228, COM S 230 or CPR E 310"
"S E 396","Permission of department and Career Services"
"S E 397","Permission of department and Career Services"
"S E 398","S E 298, permission of department and Career Services"
"S E 409","COM S 309"
"S E 412","COM S 230 or CPR E 310; COM S 311, STAT 330"
"S E 416","COM S 309"
"S E 417","COM S 309; COM S 230 or CPR E 310; ENGL 250, SP CM 212"
"S E 419","CPR E 308 or COM S 352, COM S 309"
"S E 490","Senior classification in software engineering"
"S E 491","S E 329, completion of 29 credits in the S E core professional program, ENGL 314"
"S E 492","S E 491"
"S E 494","Credit or enrollment in S E 491"
"S E 498","S E 398, permission of department and Career Services"
"SPAN 097","Two years but less than three years of high-school Spanish"
"SPAN 101",""
"SPAN 102","SPAN 101, SPAN 97 or placement by departmental exam"
"SPAN 195",""
"SPAN 201","SPAN 102 or placement by departmental exam"
"SPAN 202","SPAN 201 or placement by departmental exam"
"SPAN 295","SPAN 102 or equivalent"
"SPAN 297","4 years of high school Spanish, two years of Spanish at a community college, Spanish 201, or equivalent by placement"
"SPAN 301","SPAN 202 or placement by departmental exam"
"SPAN 303","SPAN 202 or placement by departmental exam"
"SPAN 303A","SPAN 202 or placement by departmental exam"
"SPAN 303B","SPAN 202 or placement by departmental exam"
"SPAN 304","SPAN 202 or placement by departmental exam (SPAN 301 recommended)"
"SPAN 314","SPAN 301"
"SPAN 321","One course at the 300 level"
"SPAN 322","One course at the 300 level"
"SPAN 323","One course at the 300 level"
"SPAN 324","One course at the 300 level"
"SPAN 326","One course at the 300 level"
"SPAN 330","SPAN 314"
"SPAN 331","SPAN 314"
"SPAN 332","SPAN 314"
"SPAN 333","SPAN 314"
"SPAN 351","SPAN 301, SPAN 303 or SPAN 304"
"SPAN 352","SPAN 301, SPAN 303 or SPAN 304"
"SPAN 354","SPAN 351"
"SPAN 370",""
"SPAN 370A",""
"SPAN 370S",""
"SPAN 395","2 years university-level Spanish or equivalent"
"SPAN 401","SPAN 314 and one course at the 320-level or above"
"SPAN 440","SPAN 330, SPAN 331, SPAN 332, or SPAN 333. (Recommended SPAN 330 and SPAN 331)"
"SPAN 441","SPAN 330, SPAN 331, SPAN 332, or SPAN 333. (SPAN 330 recommended)"
"SPAN 445","SPAN 330, SPAN 331, SPAN 332, SPAN or SPAN 333. (SPAN 332 and SPAN 333 recommended)"
"SPAN 462","SPAN 351"
"SPAN 463","SPAN 352"
"SPAN 490","6 credits in Spanish and permission of department chair"
"SPAN 499","9 credits of Spanish at the 300 level; permission of advisor and WLC Internship Coordinator"
"SPAN 501","SPAN 314 and one course at the 320-level or above"
"SPAN 526","6 credits in Spanish literature or culture at 400 level"
"SPAN 540","SPAN 330, SPAN 331, SPAN 332, or SPAN 333. (Recommended SPAN 330 and SPAN 331)"
"SPAN 541","SPAN 330, SPAN 331, SPAN 332, or SPAN 333. (SPAN 330 recommended)"
"SPAN 545","SPAN 330, SPAN 331, SPAN 332, SPAN or SPAN 333. (SPAN 332 and SPAN 333 recommended)"
"SPAN 554","SPAN 351"
"SPAN 590","Permission of instructor; 6 credits of 400 level Spanish"
"SPAN 590A","Permission of instructor; 6 credits of 400 level Spanish"
"SPAN 590B","Permission of instructor; 6 credits of 400 level Spanish"
"SPAN 590C","Permission of instructor; 6 credits of 400 level Spanish"
"SPAN 590D","Permission of instructor; 6 credits of 400 level Spanish"
"SP ED 250","C I 204"
"SP ED 330","SP ED 250, concurrent enrollment in C I 280I, C I 377"
"SP ED 334","Concurrent enrollment in SP ED 330"
"SP ED 355","Concurrent enrollment in SP ED 455; C I 433, C I 439, C I 468I"
"SP ED 365","SP ED 330; C I 377"
"SP ED 368","Concurrent enrollment in C I 377, C I 438, C I 468F, C I 468G"
"SP ED 401",""
"SP ED 416","Full admission to teacher education, senior classification, elementary education major; SP ED 330, SP ED 334, SP ED 365, SP ED 436, SP ED 439, C I 280I, C I 452"
"SP ED 436","C I 245, concurrent enrollment in SP ED 365"
"SP ED 455","Concurrent enrollment in SP ED 355; C I 433, C I 439, C I 468I"
"SP ED 459","SP ED 330, SP ED 339, SP ED 365, SP ED 436; admission to teacher education."
"SP ED 460","SP ED 436, concurrent enrollment in SP ED 459"
"SP ED 464","SP ED 365, SP ED 436"
"SP ED 490","12 credits in elementary education, permission of department chair"
"SP ED 501","Baccalaureate degree"
"SP ED 510","SP ED 501 or equivalent"
"SP ED 511","SP ED 501 or equivalent"
"SP ED 515","SP ED 510 or SP ED 511"
"SP ED 517","RESEV 550, SP ED 515"
"SP ED 520","SP ED 510, SP ED 515"
"SP ED 530","SP ED 511, SP ED 515"
"SP ED 540","SP ED 511, SP ED 515"
"SP ED 553","Teaching license"
"SP ED 555","SP ED 510 or SP ED 511"
"SP ED 560","Teaching license"
"SP ED 564","SP ED 515, SP ED 520 or SP ED 530 or SP ED 540"
"SP ED 565","SP ED 564"
"SP ED 567","Secondary teaching experience"
"SP ED 570","SP ED 511"
"SP ED 590","15 credits in education, permission of department chair"
"SP ED 591","15 graduate credits in special area, admission to the graduate program in special education"
"SP ED 591G","15 graduate credits in special area, admission to the graduate program in special education"
"SP ED 591H","15 graduate credits in special area, admission to the graduate program in special education"
"SP ED 591K","15 graduate credits in special area, admission to the graduate program in special education"
"SP ED 591L","15 graduate credits in special area, admission to the graduate program in special education"
"SP ED 599","15 credits in education"
"SP ED 615",""
"SP ED 699","15 credits in education"
"SP CM 110",""
"SP CM 212",""
"SP CM 216",""
"SP CM 223","Permission of instructor"
"SP CM 275","Credit in or equivalent of 250"
"SP CM 290","3 credits in speech communication; permission of program director"
"SP CM 305","ENGL 250"
"SP CM 312","SP CM 212"
"SP CM 313","SP CM 212"
"SP CM 322","SP CM 212"
"SP CM 323",""
"SP CM 324","SP CM 212"
"SP CM 327","SP CM 212"
"SP CM 350","ENGL 250"
"SP CM 404","Junior or above classification"
"SP CM 412","SP CM 212 and 6 credits in speech communication"
"SP CM 416","SP CM 212"
"SP CM 417","SP CM 212"
"SP CM 490","18 credits in speech communication, junior classification, permission of program director"
"SP CM 495A","C I 301; 9 credits in speech communication; minimum GPA of 2.5 in speech communication courses"
"SP CM 495B","C I 301; 9 credits in speech communication; minimum GPA of 2.5 in speech communication courses"
"SP CM 497","15 credits in speech communication; junior or senior classification"
"SP CM 499","18 credits in speech communication courses, other courses deemed appropriate by faculty adviser; 2nd semester junior or senior standing; minimum GPA of 2.5 and minimum GPA of 3.0 in speech communication courses; and permission of the internship committee"
"SP CM 504","Junior or above classification"
"SP CM 513","Permission of instructor"
"SP CM 547","6 credits in English"
"SP CM 548","6 credits in English"
"SP CM 582",""
"SP CM 590","Permission of program chair"
"SP CM 592","12 credits in rhetoric, linguistics, or literature, excluding ENGL 150 and ENGL 250"
"SP CM 592A","12 credits in rhetoric, linguistics, or literature, excluding ENGL 150 and ENGL 250"
"SP CM 592B","12 credits in rhetoric, linguistics, or literature, excluding ENGL 150 and ENGL 250"
"SP CM 592C","12 credits in rhetoric, linguistics, or literature, excluding ENGL 150 and ENGL 250"
"SP CM 592D","12 credits in rhetoric, linguistics, or literature, excluding ENGL 150 and ENGL 250"
"STAT 100",""
"STAT 101","1 1/2 years of high school algebra"
"STAT 104","1 1/2 years of high school algebra"
"STAT 105","MATH 165 (or MATH 165H)"
"STAT 201","Credit or enrollment in MATH 165"
"STAT 226","MATH 150 or MATH 165"
"STAT 231","Credit or enrollment in MATH 265"
"STAT 301","STAT 101 or STAT 104 or STAT 105 or STAT 201"
"STAT 305","MATH 165 (or MATH 165H)"
"STAT 322","E E 224"
"STAT 326","STAT 226"
"STAT 330","MATH 166"
"STAT 332","STAT 101, STAT 104, STAT 201 or STAT 226; ENGL 250"
"STAT 341","MATH 265 (or MATH 265H)"
"STAT 342","STAT 341; MATH 207 or MATH 317"
"STAT 361","STAT 231, STAT 301, STAT 326 or STAT 401"
"STAT 398","Permission of department chair"
"STAT 401","STAT 101 or STAT 104 or STAT 105 or STAT 201 or STAT 226"
"STAT 402","STAT 301 or STAT 326 or STAT 401"
"STAT 404","STAT 301 or STAT 326 or STAT 401"
"STAT 406","Six hours of statistics at the 400-level"
"STAT 407","STAT 301 or STAT 326 or STAT 401, knowledge of matrix algebra"
"STAT 410","STAT 341 or equivalent"
"STAT 415","STAT 301 or STAT 326 or STAT 401"
"STAT 416","STAT 301 or STAT 326 or STAT 401"
"STAT 421","STAT 301 or STAT 326 or STAT 401"
"STAT 430","STAT 330 or an equivalent course, MATH 166, knowledge of linear algebra."
"STAT 432","STAT 231 or STAT 341 or STAT 447"
"STAT 444","STAT 301 or STAT 326 or STAT 401; STAT 342 or STAT 447."
"STAT 447","MATH 151 and permission of instructor, or MATH 265"
"STAT 451","STAT 301 or STAT 326 or STAT 401"
"STAT 457","STAT 301 or STAT 326 or STAT 401"
"STAT 479","STAT 301 or STAT 326 or STAT 401"
"STAT 480","STAT 301 or STAT 326 or STAT 401"
"STAT 490","10 credits in statistics"
"STAT 490H","10 credits in statistics"
"STAT 495","STAT 101 or STAT 104 or STAT 105 or STAT 201 or STAT 226; MATH 166 (or MATH 166H)"
"STAT 496","STAT 495"
"STAT 500","STAT 447 or current enrollment in STAT 542; knowledge of matrix algebra."
"STAT 501","STAT 500 or STAT 402; STAT 447 or STAT 542; STAT 579 or equivalent; knowledge of matrix algebra."
"STAT 502","STAT 500, STAT 542, STAT 579."
"STAT 503","STAT 301 or STAT 326 or STAT 401; STAT 341 or STAT 447 or STAT 542; STAT 480 or STAT 579"
"STAT 505","STAT 341 or STAT 447; STAT 401"
"STAT 506","STAT 447 or STAT 542"
"STAT 510","STAT 500, STAT 447 or credit/enrollment in STAT 543"
"STAT 512","STAT 511"
"STAT 513","STAT 402 or STAT 512, knowledge of elementary matrix theory and matrix formulation of regression"
"STAT 515","STAT 447 or STAT 543; STAT 510"
"STAT 516","STAT 500; STAT 447 or STAT 542"
"STAT 520","STAT 510, STAT 447 or STAT 543"
"STAT 521","STAT 401; STAT 447 or STAT 542"
"STAT 522","STAT 521 or both STAT 421 and STAT 447"
"STAT 531","STAT 401; STAT 342 or STAT 447"
"STAT 533","STAT 342 or STAT 432 or STAT 447"
"STAT 534","STAT 447 or STAT 542"
"STAT 536","STAT 401, STAT 447; GEN 320 or BIOL 313"
"STAT 542","MATH 414."
"STAT 543","STAT 542."
"STAT 544","STAT 543"
"STAT 546","STAT 510, STAT 542"
"STAT 547","STAT 543, STAT 511"
"STAT 551","STAT 447 or STAT 542"
"STAT 554","STAT 542"
"STAT 557","STAT 500 or STAT 401; STAT 543 or STAT 447"
"STAT 565","STAT 500 or STAT 401; STAT 543 or STAT 447"
"STAT 568","BCB 567 or (BIOL 315 and STAT 430), credit or enrollment in GEN 409"
"STAT 570","BCB 567 or COM S 311, COM S 228, GEN 409, STAT 430"
"STAT 579","Enrollment in STAT 500"
"STAT 580","STAT 579; STAT 447 or STAT 542"
"STAT 590",""
"STAT 590A",""
"STAT 590B",""
"STAT 590C",""
"STAT 590D",""
"STAT 590E",""
"STAT 590F",""
"STAT 598","Permission of the department chair"
"STAT 599",""
"STAT 601","STAT 520, STAT 543 and MATH 414 or enrollment in STAT 641"
"STAT 602","STAT 520, STAT 543, STAT 579"
"STAT 606","STAT 506, STAT 642"
"STAT 611","STAT 510; STAT 542 or STAT 447; a course in matrix algebra"
"STAT 612","STAT 512"
"STAT 615","STAT 544 and STAT 601"
"STAT 621","STAT 521"
"STAT 641","MATH 414 or MATH 501 or equivalent course."
"STAT 642","STAT 641, or STAT 543 and MATH 515."
"STAT 643","STAT 543, STAT 642"
"STAT 644","STAT 544 and STAT 642"
"STAT 645",""
"STAT 647","STAT 543, knowledge of matrix algebra"
"STAT 648","STAT 543."
"STAT 651","STAT 551, STAT 642"
"STAT 680","STAT 543 and STAT 580"
"STAT 690","Permission of instructor"
"STAT 690A","Permission of instructor"
"STAT 690B","Permission of instructor"
"STAT 690C","Permission of instructor"
"STAT 690D","Permission of instructor"
"STAT 690E","Permission of instructor"
"STAT 690F","Permission of instructor"
"STAT 699",""
"SCM 301","ECON 101 and STAT 226"
"SCM 340","credit or enrollment in MIS 301"
"SCM 422","SCM 301"
"SCM 424","SCM 301"
"SCM 428","SCM 301"
"SCM 440","MIS 301, SCM 301"
"SCM 450","SCM 301, MIS 301 or I E 148, I E 341"
"SCM 453","SCM 301"
"SCM 460","SCM 301"
"SCM 461","SCM 301"
"SCM 462","Credit or enrollment in SCM 461"
"SCM 466","SCM 301"
"SCM 485","SCM 301"
"SCM 486","SCM 301"
"SCM 487","SCM 460 or SCM 422 or SCM 424; SCM 485 or SCM 486"
"SCM 490","SCM 301, senior classification, permission of instructor"
"SCM 501","Enrollment in MBA program or departmental permission"
"SCM 520","SCM 501 or permission of instructor"
"SCM 522","SCM 501 or permission of instructor"
"SCM 524","SCM 501 or permission of instructor"
"SCM 560","SCM 501 or permission of instructor"
"SCM 561","SCM 501 or permission of instructor"
"SCM 563","SCM 501 or permission of instructor"
"SCM 585","SCM 501 or permission of instructor"
"SCM 590","Graduate classification and permission of instructor"
"SCM 601","MGMT 601 or permission of instructor"
"SCM 602","SCM 601 or concurrent enrollment"
"SCM 603","SCM 601 or concurrent enrollment"
"SCM 604","SCM 601 or concurrent enrollment"
"SCM 605","SCM 601 or concurrent enrollment"
"SCM 650","enrollment in the PhD program"
"SCM 651","enrollment in the PhD program"
"SCM 699","Graduate classification, permission of dissertation supervisor"
"SUSAG 509","Senior or above classification"
"SUSAG 515","SUSAG 509"
"SUSAG 530",""
"SUSAG 546","SUSAG 509"
"SUSAG 571","6 credits in biological science at 300 level or above"
"SUSAG 584","9 cr. in biological or physical sciences"
"SUSAG 590","Graduate classification, permission of instructor"
"SUSAG 599",""
"SUSAG 600",""
"SUSAG 610","Graduate classification, permission of instructor"
"SUSAG 699",""
"SUS E 501","SUS E 521"
"SUS E 502","SUS E 501, SUS E 512, SUS E 531"
"SUS E 511","Admission to MDSE program"
"SUS E 512","SUS E 511"
"SUS E 521","Graduate standing or senior classification with instructor permission."
"SUS E 531","Graduate standing or senior classification with instructor permission."
"T SC 220",""
"T SC 341","Junior classification"
"T SC 342","Junior classification"
"T SC 342H","Junior classification"
"T SC 343","6 credits of social science or T SC 341 and 3 credits of social science"
"T SC 474","Junior classification"
"T SC 490","T SC 341, permission of instructor and of T SC coordinator"
"T SC 543","6 credits in sociology"
"T SC 543B","6 credits in sociology"
"T SC 543C","6 credits in sociology"
"T SC 574","6 credits in social science"
"T SC 590","T SC 541, permission of instructor and of T SC coordinator"
"TSM 110","AST and I Tec majors only or permission of instructor"
"TSM 111","AST or I Tec majors only or permission of instructor"
"TSM 115","MATH 140 or higher (can be taken concurrently)"
"TSM 116",""
"TSM 201","Sophomore classification in AE, AST, BSE, or I TEC"
"TSM 210","TSM 115 or equivalent, MATH 140 or higher"
"TSM 216","TSM 116"
"TSM 240",""
"TSM 270",""
"TSM 310","STAT 101 or STAT 104, junior classification"
"TSM 322","MATH 140 or higher"
"TSM 322L","Credit or enrollment for credit in TSM 322"
"TSM 324","MATH 140 or MATH 151"
"TSM 325","ECON 101, CHEM 163 or higher, MATH 140 or higher"
"TSM 327","TSM 210"
"TSM 330","TSM 210, MATH 145 or MATH 151"
"TSM 333","MATH 140 or higher, junior or senior classification"
"TSM 335","TSM 210, MATH 145"
"TSM 337","TSM 210"
"TSM 340","TSM 216, TSM 240, MATH 151"
"TSM 363","TSM 210"
"TSM 370","TSM 270, junior standing"
"TSM 371",""
"TSM 372","TSM 371"
"TSM 376",""
"TSM 393",""
"TSM 393A",""
"TSM 393B",""
"TSM 393C",""
"TSM 393D",""
"TSM 393E",""
"TSM 393F",""
"TSM 393G",""
"TSM 393I",""
"TSM 393J",""
"TSM 397","At least 45 credits of coursework, in AST or I Tec major, and approval of internship coordinator"
"TSM 399","TSM 397 the preceding semester and approval of internship coordinator"
"TSM 415","senior classification with less than 32 credits remaining"
"TSM 416","TSM 415 in previous semester"
"TSM 440","TSM 310"
"TSM 443","PHYS 111, MATH 145 or MATH 151"
"TSM 444","TSM 216 and TSM 240; STAT 101 or STAT 104"
"TSM 465","TSM 363"
"TSM 470","MATH 151 or higher"
"TSM 471","TSM 470 (can be taken concurrently)"
"TSM 477","MATH 151, STAT 101 or STAT 104"
"TSM 490","Junior or senior classification, permission of instructor, and completion of an independent study contract and approval by department"
"TSM 490H","Junior or senior classification, permission of instructor, and completion of an independent study contract and approval by department"
"TSM 490I","Junior or senior classification, permission of instructor, and completion of an independent study contract and approval by department"
"TSM 490J","Junior or senior classification, permission of instructor, and completion of an independent study contract and approval by department"
"TSM 490M","Junior or senior classification, permission of instructor, and completion of an independent study contract and approval by department"
"TSM 490O","Junior or senior classification, permission of instructor, and completion of an independent study contract and approval by department"
"TSM 493",""
"TSM 493A",""
"TSM 493B",""
"TSM 493C",""
"TSM 493D",""
"TSM 495","Permission of instructor"
"TSM 496","Permission of instructor"
"TSM 540","Permission of instructor"
"TSM 575",""
"TSM 577","MATH 151, STAT 101 or STAT 104"
"TSM 590","Graduate classification in industrial and agricultural technology, permission of instructor, and completion of an independent study contract approved by major professor"
"TSM 590A","Graduate classification in industrial and agricultural technology, permission of instructor, and completion of an independent study contract approved by major professor"
"TSM 590B","Graduate classification in industrial and agricultural technology, permission of instructor, and completion of an independent study contract approved by major professor"
"TSM 590C","Graduate classification in industrial and agricultural technology, permission of instructor, and completion of an independent study contract approved by major professor"
"TSM 590D","Graduate classification in industrial and agricultural technology, permission of instructor, and completion of an independent study contract approved by major professor"
"TSM 593","Permission of instructor"
"TSM 598",""
"TSM 599",""
"TSM 601",""
"TSM 652","STAT 401 or equivalent"
"TSM 655","Permission of instructor"
"TSM 657","Permission of instructor"
"TSM 694","Graduate classification and permission of instructor"
"TSM 697","permission of major professor and approval by department chair, graduate classification"
"TSM 698",""
"TSM 699",""
"THTRE 106",""
"THTRE 110",""
"THTRE 151",""
"THTRE 224","By audition only"
"THTRE 250","Permission of instructor"
"THTRE 251",""
"THTRE 255",""
"THTRE 263",""
"THTRE 290","3 credits in theatre; permission of instructor; approval of written proposal"
"THTRE 316","ENGL 250, not open to freshmen"
"THTRE 351","THTRE 251, DANCE 120 recommended"
"THTRE 354","THTRE 251 or MUSIC 232 or 3 credits in Dance"
"THTRE 355","THTRE 354"
"THTRE 357",""
"THTRE 358",""
"THTRE 360","THTRE 255"
"THTRE 365","THTRE 255"
"THTRE 366","THTRE 365"
"THTRE 393","THTRE 365"
"THTRE 393A","THTRE 365"
"THTRE 393B","THTRE 365"
"THTRE 393C","THTRE 365"
"THTRE 393D","THTRE 365"
"THTRE 393E","THTRE 365"
"THTRE 393F","THTRE 365"
"THTRE 393G","THTRE 365"
"THTRE 393I","THTRE 365"
"THTRE 393J","THTRE 365"
"THTRE 393K","THTRE 365"
"THTRE 451","THTRE 351 and permission of instructor"
"THTRE 455","THTRE 255; THTRE 263; THTRE 251 recommended"
"THTRE 456","THTRE 455"
"THTRE 461","Permission of instructor"
"THTRE 465","HIST 201 or equivalent"
"THTRE 466","THTRE 465"
"THTRE 469","9 credits in theatre courses; junior classification"
"THTRE 490","9 credits in theatre, approved written proposal, junior classification"
"THTRE 499","18 credits in THTRE, other courses deemed appropriate by faculty adviser; 2nd semester junior or senior standing; minimum GPA of 2.5  and minimum GPA of 3.0 in THTRE courses"
"THTRE 504","9 credits in theatre"
"THTRE 504A","9 credits in theatre"
"THTRE 504B","9 credits in theatre"
"THTRE 504C","9 credits in theatre"
"THTRE 504D","9 credits in theatre"
"THTRE 504E","9 credits in theatre"
"THTRE 590","Approved written proposal"
"TOX 354","B M S 549 and B M S 552; BBMB 404, BBMB 405"
"TOX 419","MICRO 201 or MICRO 302, a course in biochemistry"
"TOX 420","MICRO 201 or MICRO 302"
"TOX 426","Third year classification in veterinary medicine"
"TOX 501","BBMB 404 or equivalent"
"TOX 502","TOX 501"
"TOX 504","Permission of instructor required"
"TOX 506","BBMB 404 and BBMB 405 or BBMB 420"
"TOX 515","BBMB 404 or FSHN 403"
"TOX 519","A course in biochemistry"
"TOX 526","Third year classification in veterinary medicine"
"TOX 529","A course in biochemistry; enrollment in GP-IDEA Food Safety and Defense Graduate Certificate or permission of instructor."
"TOX 546","D.V.M. degree or VDPAM 526"
"TOX 550","9 credits of biological sciences"
"TOX 554","B M S 549 and B M S 552; BBMB 404, BBMB 405"
"TOX 565","STAT 500 or STAT 401; STAT 543 or STAT 447"
"TOX 570","Statistics 300-level or higher."
"TOX 575","10 credits in biological science and permission of instructor"
"TOX 590",""
"TOX 626","FS HN 420 or FS HN 421 or FS HN 504"
"TOX 627","FS HN 420 or FS HN 421 or FS HN 504"
"TOX 656","Graduate course in biochemistry, genetics, or cell biology"
"TOX 675","ENT 555 or TOX 501"
"TOX 689",""
"TOX 697","Admission to Toxicology graduate program"
"TOX 699",""
"TRANS 555","C E 350 or C E 355"
"TRANS 599","Pre-enrollment contract required"
"TRANS 691",""
"TRANS 699",""
"U ST 101","Acceptance/participation in appropriate learning community or special program."
"U ST 101A","Acceptance/participation in appropriate learning community or special program."
"U ST 101B","Acceptance/participation in appropriate learning community or special program."
"U ST 101C","Acceptance/participation in appropriate learning community or special program."
"U ST 101D","Acceptance/participation in appropriate learning community or special program."
"U ST 101E","Acceptance/participation in appropriate learning community or special program."
"U ST 102","U ST 101 or instructor permission."
"U ST 102A","U ST 101 or instructor permission."
"U ST 102B","U ST 101 or instructor permission."
"U ST 104",""
"U ST 105","Acceptance in Carver Academy Program, George Washington Carver scholarship recipient"
"U ST 106","Acceptance in Carver Academy Program, George Washington Carver scholarship recipient"
"U ST 201","Participation in Women in Science and Engineering Sophomore or Transfer Learning Community."
"U ST 205","U ST 106, intended primarily for sophomores"
"U ST 207","102B or instructor permission"
"U ST 290","Permission of the associate provost for academic programs"
"U ST 301","Acceptance to the Iowa State University McNair Program"
"U ST 302","U ST 301"
"U ST 311",""
"U ST 311A",""
"U ST 311B",""
"U ST 311C",""
"U ST 312","U ST 311"
"U ST 312A","U ST 311"
"U ST 312B","U ST 311"
"U ST 315","Selection as Cyclone Aide or Cyclone Aide Adviser"
"U ST 321","Selection as an NCORE Student Scholar and attendance at NCORE."
"U ST 401","Intended for second year McNair participants"
"U ST 402","U ST 401"
"U ST 490","Permission of the associate provost for academic programs"
"URB D 501","Graduate standing or senior classification with instructor permission"
"URB D 502","Graduate standing or senior classification with instructor permission."
"URB D 511","Graduate standing or senior classification with instructor permission"
"URB D 521","Graduate standing, senior classification with instructor permission."
"URB D 522","Graduate standing or senior classification with instructor permission."
"URB D 531","Graduate standing or senior classification with instructor permission."
"URB D 532","Graduate standing or senior classification with instructor permission."
"URB D 533","Graduate standing or senior classification with instructor permission."
"US LS 211",""
"US LS 240",""
"US LS 332","SOC 134"
"US LS 342",""
"US LS 343",""
"US LS 344","ENGL 250"
"US LS 347","Two courses in Psychology including PSYCH 101"
"US LS 473","Sophomore classification"
"US LS 490","permission of instructor"
"V C S 305","First year classification in Veterinary Medicine or with permission of instructor"
"V C S 311","First-year classification in veterinary medicine"
"V C S 313","Second-year classification in veterinary medicine"
"V C S 314","Third-year classification in veterinary medicine"
"V C S 315","Third-year classification in veterinary medicine"
"V C S 339","First-year classification in veterinary medicine"
"V C S 385","Classification in veterinary medicine"
"V C S 391","First-year classification in veterinary medicine"
"V C S 393","Second year classification in veterinary medicine"
"V C S 394","Second year classification in veterinary medicine"
"V C S 395","V C S 394"
"V C S 396","V C S 394"
"V C S 398","Second-year classification in veterinary medicine"
"V C S 399","Third year classification in veterinary medicine"
"V C S 402","Third or fourth-year classification in veterinary medicine; V  CS 444 or concurrent enrollment in V C S 444"
"V C S 405","third classification in veterinary medicine"
